WBAN,Name,State,Location,Latitude,Longitude,StationHeight,Barometer,TimeZone
14771,SYRACUSE,NY,SYRACUSE HANCOCK INTERNATIONAL AP,43.1111,-76.1038,127.1,14121.25,-5
14775,WESTFIELD/SPRINGFIELD,MA,BARNES MUNICIPAL AIRPORT,42.157779999999995,-72.71611,82.6,9346.44,-5
14777,WILKES-BARRE/SCRANTON,PA,WILKES-BARRE/SCRANTON INTL AIRPORT,41.3336,-75.7269,293.22,32441.62,-5
14778,WILLIAMSPORT,PA,WILLIAMSPORT REGIONAL AIRPORT,41.2433,-76.9217,160.02,18388.1,-5
14780,LAKEHURST,NJ,NAES/MAXFIELD FIELD,40.03333,-74.35,31.39,4063.67,-5
14787,NEWPORT,RI,NEWPORT STATE AIRPORT,41.53333,-71.28333,52.43,5756.86,-5
14790,SOUTH WEYMOUTH,MA,NAVAL AIR STATION,42.15,-70.93333,49.38,5350.5,-5
14792,TRENTON,NJ,TRENTON MERCER AIRPORT,40.27694,-74.81583,64.92,6671.19,-5
14793,WILLOW GROVE,PA,WILLOW GROVE NAS,40.2,-75.15,110.34,12360.32,-5
14794,WESTERLY,RI,WESTERLY STATE AIRPORT,41.34972,-71.79889,24.69,2438.2,-5
14804,MOUNT CLEMENS,MI,SELFRIDGE AIR NATIONAL GUARD BASE,42.6083,-82.8183,176.78,0.0,-5
14808,OSCODA,MI,OSCODA-WURTSMITH AIRPORT,44.45,-83.4,193.24,,-5
14813,AKRON,OH,AKRON FULTON INTL AIRPORT,41.0375,-81.46417,335.58,37351.88,-5
14815,BATTLE CREEK,MI,W K KELLOGG AIRPORT,42.3075,-85.25111,286.21,31459.56,-5
14817,CADILLAC,MI,WEXFORD COUNTY AIRPORT,44.28333,-85.41667,398.37,,-5
14819,CHICAGO,IL,CHICAGO MIDWAY INTL ARPT,41.78611,-87.75222,188.37,20961.75,-6
14820,CLEVELAND,OH,CLEVELAND-HOPKINS INTERNATIONAL AP,41.405,-81.85278000000001,245.36,27260.44,-5
14821,COLUMBUS,OH,PORT COLUMBUS INTERNATIONAL AIRPORT,39.99139,-82.88083,248.72,27497.49,-5
14822,DETROIT,MI,DETROIT CITY AIRPORT,42.40917,-83.01,190.8,21266.53,-5
14825,FINDLAY,OH,FINDLAY AIRPORT,41.01361,-83.66861,247.5,27091.12,-5
14826,FLINT,MI,BISHOP INTERNATIONAL AIRPORT,42.9666,-83.7494,233.48,26515.43,-5
14827,FORT WAYNE,IN,FORT WAYNE INTERNATIONAL AIRPORT,40.9705,-85.2063,252.37,27294.3,-5
14829,GOSHEN,IN,GOSHEN MUNICIPAL AIRPORT,41.52722,-85.79222,252.07,28107.04,-5
14833,JACKSON,MI,JAKSON CO-RYNOLDS FLD ARPT,42.2667,-84.4667,310.9,34541.18,-5
14834,JOLIET,IL,JOLIET REGIONAL AIRPORT,41.5,-88.16667,177.09,,-6
14835,LAFAYETTE,IN,PURDUE UNIVERSITY AIRPORT,40.41222,-86.93694,194.16,20453.8,-5
14836,LANSING,MI,CAPITAL CITY AIRPORT,42.78028,-84.57889,266.4,29867.96,-5
14837,MADISON,WI,DANE CO REGIONAL-TRUAX FIELD AIRPORT,43.1405,-89.3452,263.96,29122.95,-6
14839,MILWAUKEE,WI,GENERAL MITCHELL INTERNATIONAL AP,42.955,-87.9044,211.23,23027.45,-6
14840,MUSKEGON,MI,MUSKEGON COUNTY AIRPORT,43.17111,-86.23666999999999,192.94,22316.31,-5
14841,PELLSTON,MI,PELLSTON REGIONAL ARPT OF EMMET COUNTY ARPT,45.5644,-84.7927,217.93,24212.69,-5
14842,PEORIA,IL,GREATER PEORIA REGIONAL AIRPORT,40.6675,-89.6839,201.78,24246.55,-6
14845,SAGINAW,MI,MBS INTERNATIONAL AIRPORT,43.53306,-84.07972,204.22,22553.36,-5
14847,SAULT STE MARIE,MI,SAULT STE MARIE MUNI/SASN FIELD AP,46.4794,-84.3572,220.68,24619.06,-5
